Month_Year;Province;City;Fuel_Type;Petrol_Price_ZAR_Per_Litre;Diesel_Price_ZAR_Per_Litre;Bread_Price_ZAR;Maize_Meal_10kg_ZAR;Cooking_Oil_2L_ZAR;Chicken_Portions_1kg_ZAR;Milk_1L_ZAR;Eggs_6pack_ZAR;Transport_Minibus_Fare_ZAR;CPI_Index;Unemployment_Rate_Pct;Notes
2021/01/01;Gauteng;Johannesburg;ULP 95;15.09;13.19;14.99;68.99;39.99;49.99;17.49;19.99;12.00;116.2;32.5;
2021/01/01;Gauteng;Johannesburg;ULP 93;14.86;13.19;14.99;68.99;39.99;49.99;17.49;19.99;12.00;116.2;32.5;Duplicate fuel type same city
2021/01/01;Limpopo;Polokwane;ULP 95;15.22;13.29;15.49;70.99;41.99;51.99;17.99;20.49;10.00;116.2;32.5;
2021/01/01;Western Cape;Cape Town;ULP 95;15.09;13.19;15.99;72.99;40.99;52.99;18.49;21.99;13.50;116.2;32.5;
2021/01/01;KwaZulu-Natal;Durban;ULP 95;15.09;13.19;14.49;67.99;38.99;48.99;17.29;19.49;11.50;116.2;32.5;
2021/02/01;Gauteng;Johannesburg;ULP 95;14.98;13.05;14.99;68.99;39.99;49.99;17.49;19.99;12.00;116.8;32.5;Date format inconsistency
2021/02/01;Limpopo;Polokwane;ULP 95;15.11;13.15;15.49;70.99;41.99;51.99;17.99;20.49;10.00;116.8;32.5;
2021/02/01;Western Cape;Cape Town;ULP 95;14.98;13.05;15.99;72.99;40.99;52.99;18.49;21.99;13.50;116.8;32.5;
2021/02/01;KwaZulu-Natal;Durban;ULP 95;14.98;13.05;14.49;67.99;38.99;48.99;17.29;19.49;11.50;116.8;32.5;
2021/03/01;Gauteng;Johannesburg;Petrol 95;15.36;13.42;14.99;68.99;39.99;51.99;17.49;20.49;12.00;117.4;32.6;Another date format
2021/03/01;Limpopo;Polokwane;Petrol 95;15.50;13.52;15.49;71.99;41.99;53.99;17.99;20.99;10.00;117.4;32.6;
2021/03/01;Western Cape;Cape Town;Petrol 95;15.36;13.42;15.99;73.99;40.99;54.99;18.49;22.49;13.50;117.4;32.6;
2021/03/01;KwaZulu-Natal;Durban;Petrol 95;15.36;13.42;14.49;67.99;38.99;50.99;17.29;19.99;11.50;117.4;32.6;
2021/04/01;Gauteng;Johannesburg;ULP 95;15.84;13.88;14.99;69.99;40.99;51.99;17.49;20.49;12.00;117.9;32.6;
2021/04/01;Limpopo;Polokwane;ULP 95;15.98;13.98;15.49;71.99;42.99;53.99;17.99;20.99;10.00;117.9;32.6;
2021/04/01;Western Cape;Cape Town;ULP 95;15.84;13.88;15.99;73.99;41.99;54.99;18.49;22.49;13.50;117.9;32.6;
2021/04/01;KZN;Durban;ULP 95;15.84;13.88;14.49;68.99;39.99;50.99;17.29;19.99;11.50;117.9;32.6;Province abbreviation inconsistency
2021/05/01;Gauteng;Johannesburg;ULP 95;16.01;14.02;14.99;69.99;40.99;51.99;17.49;20.49;12.00;118.3;32.6;
2021/05/01;Limpopo;Polokwane;ULP 95;16.15;14.12;15.49;71.99;42.99;53.99;17.99;20.99;10.00;118.3;32.6;
2021/05/01;Western Cape;Cape Town;ULP 95;16.01;14.02;15.99;73.99;41.99;54.99;18.49;22.49;13.50;118.3;32.6;
2021/05/01;KwaZulu-Natal;Durban;ULP 95;16.01;14.02;14.49;68.99;39.99;50.99;17.29;19.99;11.50;118.3;32.6;
2021/06/01;Gauteng;Johannesburg;ULP 95;17.10;14.98;15.49;70.99;41.99;53.99;17.99;21.49;12.50;118.9;34.4;Large fuel price increase - load shedding period
2021/06/01;Limpopo;Polokwane;ULP 95;17.25;15.09;15.99;72.99;43.99;55.99;18.49;21.99;10.50;118.9;34.4;
2021/06/01;Western Cape;Cape Town;ULP 95;17.10;14.98;16.49;74.99;42.99;56.99;18.99;23.49;14.00;118.9;34.4;
2021/06/01;KwaZulu-Natal;Durban;ULP 95;17.10;14.98;14.99;69.99;40.99;52.99;17.79;20.49;12.00;118.9;34.4;
2021/07/01;Gauteng;Johannesburg;95 Unleaded;17.48;15.28;15.49;70.99;41.99;53.99;17.99;21.49;12.50;119.3;34.4;Fuel type name inconsistency
2021/07/01;Limpopo;Polokwane;95 Unleaded;17.63;15.39;15.99;72.99;43.99;55.99;18.49;21.99;10.50;119.3;34.4;
2021/07/01;Western Cape;Cape Town;95 Unleaded;17.48;15.28;16.49;74.99;42.99;56.99;18.99;23.49;14.00;119.3;34.4;
2021/07/01;KwaZulu-Natal;Durban;95 Unleaded;17.48;15.28;14.99;69.99;40.99;52.99;17.79;20.49;12.00;119.3;34.4;
2021/08/01;Gauteng;Johannesburg;ULP 95;17.80;15.61;15.49;71.99;42.99;55.99;18.49;21.99;12.50;119.9;34.9;
2021/08/01;Limpopo;Polokwane;ULP 95;17.95;15.72;15.99;73.99;44.99;57.99;18.99;22.49;10.50;119.9;34.9;
2021/08/01;Western Cape;Cape Town;ULP 95;17.80;15.61;16.49;75.99;43.99;57.99;19.49;23.99;14.00;119.9;34.9;
2021/08/01;KwaZulu-Natal;Durban;ULP 95;17.80;15.61;14.99;70.99;41.99;53.99;17.99;20.99;12.00;119.9;34.9;
2021/09/01;Gauteng;Johannesburg;ULP 95;18.22;16.00;15.99;71.99;42.99;55.99;18.49;21.99;13.00;120.4;34.9;
2021/09/01;Limpopo;Polokwane;ULP 95;18.38;16.11;16.49;73.99;44.99;57.99;18.99;22.49;11.00;120.4;34.9;
2021/09/01;Western Cape;Cape Town;ULP 95;18.22;16.00;16.99;75.99;43.99;58.99;19.49;23.99;14.50;120.4;34.9;
2021/09/01;KwaZulu-Natal;Durban;ULP 95;18.22;16.00;15.49;70.99;41.99;54.99;17.99;20.99;12.00;120.4;34.9;
2021/10/01;Gauteng;Johannesburg;ULP 95;18.68;16.39;15.99;72.99;43.99;56.99;18.49;22.49;13.00;121.0;35.3;
2021/10/01;Limpopo;Polokwane;ULP 95;18.84;16.50;16.49;74.99;45.99;58.99;18.99;22.99;11.00;121.0;35.3;
2021/10/01;Western Cape;Cape Town;ULP 95;18.68;16.39;16.99;76.99;44.99;59.99;19.49;24.49;14.50;121.0;35.3;
2021/10/01;KwaZulu-Natal;Durban;ULP 95;18.68;16.39;15.49;71.99;42.99;55.99;18.49;21.49;12.00;121.0;35.3;
2021/11/01;Gauteng;Johannesburg;ULP 95;19.12;16.80;15.99;72.99;43.99;56.99;18.49;22.49;13.00;121.5;35.3;
2021/11/01;Limpopo;Polokwane;ULP 95;19.28;16.91;16.49;74.99;45.99;58.99;18.99;22.99;11.00;121.5;35.3;
2021/11/01;Western Cape;Cape Town;ULP 95;19.12;16.80;16.99;76.99;44.99;59.99;19.49;24.49;14.50;121.5;35.3;
